Task 1 Catalog Census
source: data/common/items_common_v1.json
schemaVersion: 1
catalogId: items_common_v1
totalItemCount: 91
typeCounts: {"consumable":58,"equipment":9,"passive_relic":10,"utility":14}
placementCounts: {"equipped":9,"inventory":20,"passiveRack":10,"quickSlot":52}
ritualLineEffectCount: 31
fateTransformCount: 16
activeRitualCount: 31
holdDebugRitualCount: 0
deletedLegacyMemoryIds: boss_memory, thin_memory, minor_memory

Fate transform ids:
- trim_rank | rarity=rare | price=11 | action=fate_two_pair_high | weight=n/a
- line_pruner | rarity=rare | price=12 | action=fate_three_kind_low | weight=n/a
- number_mask | rarity=legendary | price=20 | action=fate_royal_flush | weight=n/a
- wild_thread | rarity=legendary | price=18 | action=fate_straight_flush_high | weight=n/a
- off_color_rite | rarity=legendary | price=17 | action=fate_straight_flush_low | weight=n/a
- color_concord | rarity=rare | price=15 | action=fate_four_kind_high | weight=n/a
- step_rite | rarity=rare | price=15 | action=fate_four_kind_low | weight=n/a
- rank_concord | rarity=rare | price=15 | action=fate_full_house_high | weight=n/a
- fate_full_house_low | rarity=rare | price=15 | action=fate_full_house_low | weight=n/a
- flush_house_fate | rarity=legendary | price=20 | action=fate_flush_house | weight=n/a
- flush_five_fate | rarity=legendary | price=22 | action=fate_flush_five | weight=n/a
- fate_flush_high | rarity=rare | price=14 | action=fate_flush_high | weight=n/a
- fate_flush_low | rarity=rare | price=14 | action=fate_flush_low | weight=n/a
- fate_straight_high | rarity=rare | price=13 | action=fate_straight_high | weight=n/a
- fate_straight_low | rarity=rare | price=13 | action=fate_straight_low | weight=n/a
- fate_three_kind_high | rarity=rare | price=12 | action=fate_three_kind_high | weight=n/a

Non-Fate active ritual ids:
- bridge_rite | rarity=rare | price=12 | action=seal_bridge | weight=n/a
- diagonal_rite | rarity=rare | price=10 | action=line_bonus_35 | weight=n/a
- center_rite | rarity=uncommon | price=8 | action=center_growth | weight=n/a
- corner_rite | rarity=uncommon | price=8 | action=copy_endpoint | weight=n/a
- cross_rite | rarity=rare | price=11 | action=line_bonus_25 | weight=n/a
- sacrifice_line | rarity=legendary | price=15 | action=sacrifice_line | weight=n/a
- deadwood_burn | rarity=rare | price=10 | action=burn_line | weight=n/a
- trim_color | rarity=uncommon | price=8 | action=prune_line_to_color | weight=n/a
- sealed_copy | rarity=rare | price=12 | action=copy_selected | weight=n/a
- scarce_copy | rarity=rare | price=10 | action=copy_selected | weight=n/a
- color_echo | rarity=uncommon | price=8 | action=copy_color | weight=n/a
- rank_echo | rarity=uncommon | price=8 | action=copy_rank | weight=n/a
- edge_copy | rarity=common | price=6 | action=copy_selected | weight=n/a
- keystone_copy | rarity=uncommon | price=8 | action=copy_center | weight=n/a
- cross_memory | rarity=rare | price=10 | action=growth_marker | weight=n/a
