feature,importance
avg_score_ratio,0.6941998381609589
run_count,0.17639689613672008
avg_remaining_deck,0.06727884177273949
avg_turn_count,0.03496511720926088
avg_remaining_board_discards,0.011606065260772173
avg_confirm_action_count,0.004166055827516357
avg_max_single_confirm_score,0.003861059364718259
avg_remaining_board_moves,0.0013028594220794196
avg_remaining_hand_discards,0.001099385393045464
station,0.0008074216563087323
market_profile_shop_slot_market_v9,0.000562893080217191
loadout_id_s5_power_build,0.0004913207922158518
market_profile_none,0.00043971642445082794
loadout_id_s8_finale_build__shop_slot_market_v9,0.0003778322859244195
loadout_id_s5_power_build__shop_slot_market_v9,0.00032396212255906567
loadout_id_s4_resource_build__shop_slot_market_v9,0.0002781469973802784
market_profile_shop_slot_market_v10,0.00015351634946846504
blind_tier_small,0.00014681917165101712
loadout_id_s6_boss_breaker_build__shop_slot_market_v9,0.00013684047468224005
loadout_id_s4_resource_build,0.0001337293355923395
loadout_id_s6_boss_breaker_build,0.00012152432600685443
loadout_id_s8_finale_build,0.00011946443182998921
experiment_id_sweep_experiment_base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,0.00011665324829817536
blind_tier_big,0.00011513590109081693
experiment_id_base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,0.00011317963535666174
loadout_id_baseline,0.00010817918765112512
loadout_id_s3_hand_growth_build__shop_slot_market_v9,8.55744353648598e-05
blind_tier_boss,7.859241847400073e-05
loadout_id_s8_finale_build__shop_slot_market_v10,7.085915296063696e-05
loadout_id_s5_power_build__shop_slot_market_v10,6.951872846008988e-05
loadout_id_baseline__shop_slot_market_v9,6.188663340193688e-05
loadout_id_s4_resource_build__shop_slot_market_v10,5.174838035924973e-05
loadout_id_s5_boss_bridge_build__shop_slot_market_v10,3.4878650187043555e-05
loadout_id_s2_foundation_build__shop_slot_market_v9,2.6478844874799746e-05
loadout_id_s1_entry_bridge_build,2.416799397295932e-05
loadout_id_s5_boss_bridge_build,1.9527518397571646e-05
loadout_id_s3_hand_growth_build,1.9197838649462548e-05
loadout_id_s2_foundation_build,1.7612433400399025e-05
loadout_id_s5_boss_bridge_build__shop_slot_market_v9,8.812355425893854e-06
loadout_id_s3_hand_growth_build__shop_slot_market_v10,5.594196288557653e-06
loadout_id_s6_boss_breaker_build__shop_slot_market_v10,2.8659441354906236e-06
loadout_id_s2_foundation_build__shop_slot_market_v10,2.305071518677073e-07
slow_clear_share_of_clears,0.0
difficulty_standard,0.0
run_modifier_nan,0.0
tempo_risk_label_none,0.0
