feature,importance
station_pressure_interaction,0.09928353949234048
station_boss_interaction,0.08285821012837744
sim_boss_constraint_id_blue_dampener_v1,0.07621018815548777
boss_pressure_index,0.06714507894800739
station_tier_index,0.06368319815859075
station,0.05444680500373232
station_band_index,0.05318726032442589
has_boss_constraint,0.04374758398697969
blind_tier_boss,0.03993620540791329
boss_level_index,0.03789572974350125
is_runtime_boss_modifier,0.03517016476607355
loadout_id_s1_entry_bridge_build,0.03395774023200173
is_boss_tier,0.029457105853543854
resolved_market_profile_s1_candidate_uncommon_build_jester,0.028221549213320853
tier_index,0.021749528407043323
sim_boss_constraint_id_row_line_dampener_v1,0.01919862332653664
sim_boss_constraint_id_face_tile_dampener_v1,0.01778380636161641
market_station_interaction,0.01737133522992913
boss_family_index,0.016179153322521546
sim_boss_constraint_id_black_dampener_v1,0.016023917725237244
sim_boss_constraint_id_,0.015697339686414697
blind_tier_small,0.015523493868533373
loadout_id_s4_resource_build__shop_slot_market_v9,0.013504941975602416
sim_boss_constraint_id_yellow_dampener_v1,0.01237942986600399
loadout_id_s2_foundation_build,0.010204937039923926
resolved_market_profile_s1_candidate_common_rank_jester,0.008747115487748681
blind_tier_big,0.007291615343802492
loadout_id_s4_resource_build,0.007247266113548342
loadout_id_s3_hand_growth_build__shop_slot_market_v9,0.006726585061525552
resolved_market_profile_shop_slot_market_v9,0.006611844910775439
loadout_id_s3_hand_growth_build,0.005451424104783797
loadout_id_s5_power_build__shop_slot_market_v9,0.004440135614363586
loadout_id_s2_foundation_build__shop_slot_market_v9,0.004437682857024663
sim_boss_constraint_id_repeat_rank_pressure_v4,0.002651140050075386
resolved_market_profile_s1_candidate_tarot_build_pack,0.0024876900586958883
resolved_market_profile_s1_candidate_common_color_jester,0.0023935871610508753
resolved_market_profile_s1_candidate_planet_rank_level,0.0020734149884008035
resolved_market_profile_none,0.0019294233955006053
market_profile_version,0.001735892379548108
market_availability_index,0.0017175814032041959
is_shop_slot_market,0.0017043554940415376
market_profile_none,0.0016575161715094828
sim_boss_constraint_id_single_rank_pressure,0.0016557621340718553
market_profile_shop_slot_market_v9,0.001638481692011483
sim_boss_constraint_id_column_line_dampener_v1,0.0015248632895461189
economy_market_interaction,0.0014403076791065681
has_market_profile,0.001209256828988457
loadout_id_s5_power_build,0.001097955361476123
loadout_id_s5_boss_bridge_build__shop_slot_market_v9,0.000925162089319145
sim_boss_constraint_id_diagonal_line_dampener_v1,0.00024567533247007143
loadout_id_s5_boss_bridge_build,9.891997337921221e-05
is_late_station,3.5303675791953495e-05
resolved_market_profile_s1_buy_discard_glove,6.2263495675596685e-06
resolved_market_profile_s1_candidate_voucher_resource,9.487750130465762e-07
is_final_station,0.0
expected_target_score,0.0
expected_reward_gold,0.0
board_discard_pressure,0.0
hand_discard_pressure,0.0
max_hand_size_pressure,0.0
difficulty_multiplier,0.0
target_multiplier,0.0
small_target_multiplier,0.0
big_target_multiplier,0.0
boss_target_multiplier,0.0
s1_boss_target_multiplier,0.0
s2_boss_target_multiplier,0.0
s3_boss_target_multiplier,0.0
reward_multiplier,0.0
sweep_reward_scale,0.0
sweep_price_scale,0.0
is_sim_policy_market,0.0
economy_pressure_index,0.0
price_band_growth_access,0.0
price_band_catalog_normalized,0.0
spend_mode_slot_sell,0.0
spend_mode_first_reroll_free,0.0
spend_mode_reroll_slot_sell_soft,0.0
spend_mode_reroll_slot_sell,0.0
choice_mode_affordable_alternative,0.0
base_experiment_id_base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,0.0
loadout_id_s6_boss_breaker_build,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v9,0.0
difficulty_standard,0.0
resolved_market_profile_s1_build_aware_pack_plus5,0.0
run_modifier_basic,0.0
sim_boss_constraint_id_all_score_dampener_v1,0.0
sim_boss_constraint_id_red_dampener_v1,0.0
sim_economy_mode_gated_known_cost,0.0
sim_market_budget_mode_none,0.0
sim_market_spend_mode_reroll_slot_sell_v1,0.0
sim_price_band_mode_catalog_normalized_v1,0.0
sim_market_choice_mode_affordable_alternative_v1,0.0
