feature,importance
boss_pressure_index,0.10138029767977635
station_pressure_interaction,0.09003380897509759
station_boss_interaction,0.08236207496201448
boss_family_index,0.06522865619761274
boss_level_index,0.055496450478391954
station_tier_index,0.05338500802015562
sim_boss_constraint_id_,0.04439858070787668
station,0.04345122201206156
station_band_index,0.042366340741737576
tier_index,0.04014502917386887
sim_boss_constraint_id_blue_dampener_v1,0.04008244849948342
is_boss_tier,0.03931042092943546
blind_tier_boss,0.039003150181240634
is_runtime_boss_modifier,0.031798737003585015
has_boss_constraint,0.028116504918840372
market_station_interaction,0.020909008577904235
resolved_market_profile_s1_candidate_uncommon_build_jester,0.016851013571348328
sim_boss_constraint_id_yellow_dampener_v1,0.015803069113185766
blind_tier_small,0.015533015016597235
market_availability_index,0.008883949743120886
market_profile_version,0.008390821651245755
loadout_id_s1_entry_bridge_build,0.008210793135565955
resolved_market_profile_s1_candidate_tarot_build_pack,0.007804785974269347
sim_boss_constraint_id_row_line_dampener_v1,0.007250918105136206
loadout_id_s2_foundation_build__shop_slot_market_v9,0.006788066053769081
blind_tier_big,0.006773228410444774
resolved_market_profile_s1_candidate_planet_rank_level,0.006398819202458236
market_profile_shop_slot_market_v13,0.0047893443968618455
loadout_id_s4_resource_build__shop_slot_market_v12,0.004316922189959096
is_sim_policy_market,0.004302780083427811
resolved_market_profile_s1_candidate_common_color_jester,0.0038593017632695863
sim_boss_constraint_id_face_tile_dampener_v1,0.0037599726962555973
market_profile_shop_slot_market_v12,0.003574441163505654
market_profile_shop_slot_market_v9,0.003267427324722464
sim_boss_constraint_id_black_dampener_v1,0.003245123634753958
loadout_id_s2_foundation_build__shop_slot_market_v13,0.003234620393665433
sim_boss_constraint_id_column_line_dampener_v1,0.003229314798714872
market_profile_shop_slot_market_v16,0.0031098228057117885
has_market_profile,0.002603264430072651
resolved_market_profile_s1_candidate_common_rank_jester,0.0024005534693263015
resolved_market_profile_none,0.0022656704021240927
loadout_id_s3_hand_growth_build__shop_slot_market_v12,0.0019324639334427195
sim_boss_constraint_id_red_dampener_v1,0.0017376766456335961
market_profile_none,0.0015764454561116887
loadout_id_s4_resource_build__shop_slot_market_v16,0.0015644570984205493
economy_market_interaction,0.0015442384367422863
loadout_id_s3_hand_growth_build__shop_slot_market_v16,0.0015028379959348098
is_shop_slot_market,0.0014711873601022012
loadout_id_s4_resource_build__shop_slot_market_v13,0.0014381455895281711
loadout_id_s3_hand_growth_build,0.0013928548294798984
resolved_market_profile_shop_slot_market_v12,0.001259468232181144
loadout_id_s3_hand_growth_build__shop_slot_market_v9,0.0011486524444781052
loadout_id_s2_foundation_build__shop_slot_market_v16,0.0011427551268668589
loadout_id_s3_hand_growth_build__shop_slot_market_v13,0.00111297956225801
loadout_id_s2_foundation_build__shop_slot_market_v12,0.0011002039002294905
loadout_id_s4_resource_build__shop_slot_market_v9,0.0007747806522912272
loadout_id_s2_foundation_build,0.0007121194628457589
loadout_id_s4_resource_build,0.0006770643347817989
is_late_station,0.000560146306090606
loadout_id_s5_power_build__shop_slot_market_v13,0.0005479083068758794
resolved_market_profile_shop_slot_market_v16,0.0004904377704959609
loadout_id_s5_power_build__shop_slot_market_v16,0.0004779289191493652
resolved_market_profile_shop_slot_market_v9,0.0004417931284057776
loadout_id_s6_boss_breaker_build__shop_slot_market_v13,0.00040767075302743436
sim_boss_constraint_id_all_score_dampener_v1,0.00022727516699479273
loadout_id_s5_power_build__shop_slot_market_v12,0.0001871303290917799
loadout_id_s5_power_build__shop_slot_market_v9,0.00017342895020058417
loadout_id_s5_boss_bridge_build__shop_slot_market_v9,0.00011078120314241485
loadout_id_s6_boss_breaker_build__shop_slot_market_v12,4.955263760464097e-05
loadout_id_s5_boss_bridge_build__shop_slot_market_v13,4.5586686203996105e-05
resolved_market_profile_shop_slot_market_v13,4.2132172448103556e-05
loadout_id_s5_boss_bridge_build__shop_slot_market_v16,3.024216439934259e-05
loadout_id_s6_boss_breaker_build__shop_slot_market_v16,4.8758559457477e-06
is_final_station,0.0
expected_target_score,0.0
expected_reward_gold,0.0
board_discard_pressure,0.0
hand_discard_pressure,0.0
max_hand_size_pressure,0.0
difficulty_multiplier,0.0
target_multiplier,0.0
small_target_multiplier,0.0
big_target_multiplier,0.0
boss_target_multiplier,0.0
s1_boss_target_multiplier,0.0
s2_boss_target_multiplier,0.0
s3_boss_target_multiplier,0.0
reward_multiplier,0.0
sweep_reward_scale,0.0
sweep_price_scale,0.0
economy_pressure_index,0.0
price_band_growth_access,0.0
price_band_catalog_normalized,0.0
spend_mode_slot_sell,0.0
spend_mode_first_reroll_free,0.0
spend_mode_reroll_slot_sell_soft,0.0
spend_mode_reroll_slot_sell,0.0
choice_mode_affordable_alternative,0.0
base_experiment_id_base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v9,0.0
difficulty_standard,0.0
resolved_market_profile_s1_candidate_rare_xmult_jester,0.0
run_modifier_basic,0.0
sim_boss_constraint_id_diagonal_line_dampener_v1,0.0
sim_economy_mode_gated_known_cost,0.0
sim_market_budget_mode_none,0.0
sim_market_spend_mode_reroll_slot_sell_v1,0.0
sim_price_band_mode_catalog_normalized_v1,0.0
sim_market_choice_mode_affordable_alternative_v1,0.0
