feature,importance
station_pressure_interaction,0.8181508264130076
station_tier_index,0.0724668520395985
resolved_market_profile_s1_candidate_tarot_build_pack,0.02726575223971634
market_station_interaction,0.013358393629530736
station_boss_interaction,0.010024725550655129
market_availability_index,0.006848239300201345
market_profile_version,0.006227113825213738
station,0.005056476780412254
resolved_market_profile_s1_candidate_common_rank_jester,0.004910500201687519
sim_boss_constraint_id_blue_dampener_v1,0.004774748700327051
market_profile_shop_slot_market_v9,0.004144486632185153
sim_boss_constraint_id_yellow_dampener_v1,0.003518728475347801
is_sim_policy_market,0.0029755159463036437
loadout_id_s2_foundation_build__shop_slot_market_v9,0.002661757747616107
station_band_index,0.002609134401035589
resolved_market_profile_s1_candidate_planet_rank_level,0.00253461593295756
loadout_id_s4_resource_build__shop_slot_market_v9,0.0020430677045285032
boss_level_index,0.0018424447071813473
resolved_market_profile_s1_candidate_common_color_jester,0.0015399460469187284
boss_pressure_index,0.0011703747122845125
tier_index,0.0009177080944399004
blind_tier_small,0.0008120278119040569
boss_family_index,0.0006887245099290081
market_profile_shop_slot_market_v12,0.0005846524448269442
resolved_market_profile_s1_candidate_uncommon_build_jester,0.0005517846712377918
sim_boss_constraint_id_column_line_dampener_v1,0.0005215080912109255
blind_tier_big,0.0004157345360975695
market_profile_shop_slot_market_v13,0.0003724128874216072
loadout_id_s5_power_build__shop_slot_market_v9,0.0003439050974985369
loadout_id_s3_hand_growth_build__shop_slot_market_v12,0.0001525929609448837
market_profile_shop_slot_market_v16,0.00015101740711171699
loadout_id_s4_resource_build__shop_slot_market_v13,0.00010926591780305242
is_late_station,6.522745349725603e-05
sim_boss_constraint_id_,5.5601415967828946e-05
sim_boss_constraint_id_black_dampener_v1,5.123477852387349e-05
resolved_market_profile_none,2.3951086923405145e-05
blind_tier_boss,1.511734529791142e-05
has_market_profile,1.2055193151254774e-05
loadout_id_s3_hand_growth_build__shop_slot_market_v9,9.560849963092667e-06
loadout_id_s2_foundation_build__shop_slot_market_v12,6.5591384406885845e-06
market_profile_none,5.720027480576769e-06
is_runtime_boss_modifier,5.0478331510903164e-06
economy_market_interaction,4.889460467692986e-06
loadout_id_s4_resource_build__shop_slot_market_v12,2.686206311049594e-17
loadout_id_s2_foundation_build__shop_slot_market_v16,1.1962624912327255e-17
is_shop_slot_market,5.570591851071583e-18
sim_boss_constraint_id_face_tile_dampener_v1,5.1684902885329174e-18
sim_boss_constraint_id_row_line_dampener_v1,4.9755200697955514e-18
is_boss_tier,4.184287597859861e-18
resolved_market_profile_shop_slot_market_v13,4.124807825155162e-18
loadout_id_s4_resource_build__shop_slot_market_v16,4.085088670883387e-18
loadout_id_s1_entry_bridge_build,2.61864074899019e-18
loadout_id_s3_hand_growth_build__shop_slot_market_v13,2.1323811177941744e-18
is_final_station,0.0
expected_target_score,0.0
expected_reward_gold,0.0
board_discard_pressure,0.0
hand_discard_pressure,0.0
max_hand_size_pressure,0.0
difficulty_multiplier,0.0
target_multiplier,0.0
small_target_multiplier,0.0
big_target_multiplier,0.0
boss_target_multiplier,0.0
s1_boss_target_multiplier,0.0
s2_boss_target_multiplier,0.0
s3_boss_target_multiplier,0.0
reward_multiplier,0.0
sweep_reward_scale,0.0
sweep_price_scale,0.0
has_boss_constraint,0.0
economy_pressure_index,0.0
price_band_growth_access,0.0
price_band_catalog_normalized,0.0
spend_mode_slot_sell,0.0
spend_mode_first_reroll_free,0.0
spend_mode_reroll_slot_sell_soft,0.0
spend_mode_reroll_slot_sell,0.0
choice_mode_affordable_alternative,0.0
base_experiment_id_base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,0.0
loadout_id_s2_foundation_build,0.0
loadout_id_s2_foundation_build__shop_slot_market_v13,0.0
loadout_id_s3_hand_growth_build,0.0
loadout_id_s3_hand_growth_build__shop_slot_market_v16,0.0
loadout_id_s4_resource_build,0.0
loadout_id_s5_boss_bridge_build__shop_slot_market_v13,0.0
loadout_id_s5_boss_bridge_build__shop_slot_market_v16,0.0
loadout_id_s5_boss_bridge_build__shop_slot_market_v9,0.0
loadout_id_s5_power_build,0.0
loadout_id_s5_power_build__shop_slot_market_v12,0.0
loadout_id_s5_power_build__shop_slot_market_v13,0.0
loadout_id_s5_power_build__shop_slot_market_v16,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v12,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v13,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v16,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v9,0.0
difficulty_standard,0.0
resolved_market_profile_s1_candidate_rare_xmult_jester,0.0
resolved_market_profile_shop_slot_market_v12,0.0
resolved_market_profile_shop_slot_market_v16,0.0
resolved_market_profile_shop_slot_market_v9,0.0
run_modifier_basic,0.0
sim_boss_constraint_id_all_score_dampener_v1,0.0
sim_boss_constraint_id_red_dampener_v1,0.0
sim_boss_constraint_id_single_rank_pressure,0.0
sim_economy_mode_gated_known_cost,0.0
sim_market_budget_mode_none,0.0
sim_market_spend_mode_reroll_slot_sell_v1,0.0
sim_price_band_mode_catalog_normalized_v1,0.0
sim_market_choice_mode_affordable_alternative_v1,0.0
