candidate_id,category,predicted_v9_clear_avg,predicted_none_clear_avg,predicted_market_delta,predicted_s1_boss_v9,predicted_s8_boss_v9,market_gate_pass,reward_scale,price_scale,boss_target_multiplier,s1_boss_target_multiplier,sim_market_spend_mode,sim_market_choice_mode,recommendation_score,description
runtime_s4_rank_growth_access_current,runtime_handoff,0.8519,0.8827,-0.0308,0.869,0.6684,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-1.1413,현재 handoff 후보: S4 rank pressure 가중 + growth access price band
current_runtime_trace,baseline,0.8586,0.8794,-0.0209,0.8628,0.6911,0,1.0,1.0,1.0,1.0,none,none,-1.3193,현재 런타임 후보를 trace-only 기준으로 읽는 baseline
economy_r040_p220_spend_choice,economy,0.8576,0.8789,-0.0213,0.8746,0.7777,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.32,현재 출품 baseline에 가까운 reward 0.40 / price 2.2 + reroll/slot/sell + affordable choice
economy_r040_p240_spend_choice,economy,0.8575,0.8789,-0.0214,0.8721,0.7777,0,0.4,2.4,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.3254,경제 압박 강화 후보 reward 0.40 / price 2.4
economy_r038_p240_spend_choice,economy,0.8567,0.8789,-0.0222,0.8721,0.7777,0,0.38,2.4,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.3278,보상 소폭 축소 + price 2.4 후보
economy_r040_p220_growth_access_spend_choice,economy,0.8561,0.9038,-0.0477,0.8719,0.7772,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.4037,성장 후보 구매 접근성을 열어 둔 reward 0.40 / price 2.2 + growth access price band
target_boss_098,target,0.8682,0.904,-0.0357,0.885,0.7776,0,1.0,1.0,0.98,1.0,none,none,-2.5123,전체 boss target 0.98 후보
target_big100_boss102,target,0.8682,0.904,-0.0357,0.885,0.7776,0,1.0,1.0,1.02,1.0,none,none,-2.5123,후반 압박 보존용 boss target 1.02 후보
early_boss_soft_s1_098_s2_100_s3_100,target,0.8682,0.904,-0.0357,0.885,0.7776,0,1.0,1.0,1.0,0.98,none,none,-2.5123,S1 boss만 0.98로 낮추는 초반 완화 후보
market_v9_current_no_economy_change,market,0.8682,0.904,-0.0357,0.885,0.7776,0,1.0,1.0,1.0,1.0,none,none,-2.5123,"마켓 v9 유지, economy sim 변경 없음"
economy_r040_p260_spend_choice,economy,0.857,0.8789,-0.0219,0.8721,0.7777,0,0.4,2.6,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.5769,가격 압박 강한 price 2.6 후보
