source_path,base_experiment_id,sim_economy_mode,sim_market_spend_mode,sim_price_band_mode,sim_market_choice_mode,fresh_gate_pass,ml_gate_pass,actual_balanced_none,actual_balanced_v9,actual_balanced_delta,actual_power_none,actual_power_v9,actual_power_delta,predicted_balanced_none,predicted_balanced_v9,predicted_balanced_delta,predicted_power_none,predicted_power_v9,predicted_power_delta,recommendation_score
logs/sim/economy_trace_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.45,0.75,0.3,0.6,0.8,0.2,0.524,0.6451,0.1212,0.6136,0.705,0.0914,5.0501
logs/sim/economy_gated_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.45,0.8,0.35,0.5,0.6,0.1,0.5112,0.6667,0.1555,0.5536,0.6558,0.1022,4.7154
logs/sim/economy_choice_affordable_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.3,0.55,0.25,0.5,0.7,0.2,0.4912,0.6285,0.1372,0.604,0.6753,0.0713,4.542
logs/sim/economy_budget_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.3,0.6,0.3,0.5,0.6,0.1,0.5227,0.6325,0.1097,0.5843,0.6668,0.0826,4.3846
logs/sim/boss_expansion_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5,0.6625,0.1625,0.55,0.7125,0.1625,0.5173,0.6375,0.1202,0.6184,0.708,0.0897,4.2135
logs/sim/ml_sweep_market_exposure_v72_smoke_r200_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.49,0.655,0.165,0.6,0.745,0.145,0.524,0.6451,0.1212,0.6136,0.705,0.0914,4.1476
logs/sim/ml_sweep_market_exposure_v75_smoke_r200_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.49,0.655,0.165,0.6,0.745,0.145,0.524,0.6451,0.1212,0.6136,0.705,0.0914,4.1476
logs/sim/ml_sweep_runtime_table_v71_smoke_r200_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.49,0.655,0.165,0.6,0.745,0.145,0.524,0.6451,0.1212,0.6136,0.705,0.0914,4.1476
logs/sim/ml_sweep_integrated_runtime_transition_v63_r800_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3,trace_only,none,none,none,1,1,0.465,0.6138,0.1487,0.5575,0.6837,0.1262,0.4573,0.6279,0.1706,0.5629,0.6819,0.119,4.0999
logs/sim/ml_sweep_boss_runtime_v90_long_r800_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5162,0.6538,0.1375,0.5775,0.7325,0.155,0.524,0.6451,0.1212,0.6136,0.705,0.0914,4.0758
logs/sim/boss_expansion_stage_a_split_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_boss_expansion_stage_a_target_spike_probe_v1,trace_only,none,none,none,1,1,0.4375,0.7,0.2625,0.675,0.7,0.025,0.5429,0.6394,0.0965,0.6365,0.7117,0.0752,4.0434
logs/sim/ml_sweep_rank_cycle_probe_v90_explore_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4917,0.5667,0.075,0.4583,0.6667,0.2083,0.456,0.5936,0.1376,0.5205,0.6468,0.1264,4.0113
logs/sim/run_modifier_high_stakes_probe_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.3833,0.6333,0.25,0.625,0.625,0.0,0.4154,0.6085,0.1931,0.6116,0.7047,0.0931,4.01
logs/sim/boss_expansion_split_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_boss_expansion_min_contributor_probe_v1,trace_only,none,none,none,1,1,0.475,0.625,0.15,0.575,0.7125,0.1375,0.5228,0.6459,0.1231,0.6234,0.7079,0.0845,4.0027
logs/sim/ml_sweep_shape_floor_v88_runtime_parity_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.505,0.6475,0.1425,0.6125,0.7275,0.115,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.9264
logs/sim/ml_sweep_rank_cycle_soft_v90_explore_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4833,0.575,0.0917,0.4,0.5667,0.1667,0.4689,0.6205,0.1515,0.5629,0.6677,0.1048,3.896
logs/sim/ml_sweep_rank_cycle_probe_v1_explore_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.3333,0.5417,0.2083,0.525,0.5833,0.0583,0.4689,0.6205,0.1515,0.5629,0.6677,0.1048,3.8918
logs/sim/boss_expansion_confirm_limit_v1_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_boss_expansion_confirm_limit_probe_v1,trace_only,none,none,none,1,1,0.5075,0.6875,0.18,0.635,0.69,0.055,0.5228,0.6459,0.1231,0.6234,0.7079,0.0845,3.8865
logs/sim/runtime_s4_rank_weight_v1_v9_lift_slot_sell_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.5175,0.6525,0.135,0.5625,0.6775,0.115,0.5109,0.6181,0.1073,0.5556,0.648,0.0925,3.8782
logs/sim/boss_expansion_stage_a_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_boss_expansion_stage_a_probe_v1,trace_only,none,none,none,1,1,0.4,0.6125,0.2125,0.625,0.6875,0.0625,0.5429,0.6394,0.0965,0.6365,0.7117,0.0752,3.8622
logs/sim/runtime_s4_rank_weight_v1_v9_lift_slot_sell_seed91761_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.5175,0.65,0.1325,0.565,0.675,0.11,0.5109,0.6181,0.1073,0.5556,0.648,0.0925,3.8445
logs/sim/ml_sweep_boss_runtime_v91_confirm_tax_parity_r800_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5275,0.665,0.1375,0.6512,0.7325,0.0813,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.7976
logs/sim/economy_choice_affordable_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.525,0.7,0.175,0.6333,0.675,0.0417,0.4912,0.6285,0.1372,0.604,0.6753,0.0713,3.7962
logs/sim/ml_sweep_rank_cycle_isolated_v90_explore_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4417,0.5667,0.125,0.5417,0.6417,0.1,0.456,0.5936,0.1376,0.5205,0.6468,0.1264,3.7779
logs/sim/run_modifier_basic_probe_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.575,0.6583,0.0833,0.6167,0.7417,0.125,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.746
logs/sim/ml_sweep_market_exposure_v73_confirm_r800_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4988,0.6288,0.13,0.5938,0.6725,0.0787,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.7033
logs/sim/economy_combo045_220_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.65,0.65,0.0,0.6,0.8,0.2,0.5227,0.6325,0.1097,0.5848,0.6674,0.0826,3.6596
logs/sim/ml_sweep_boss_runtime_v90_smoke_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.45,0.575,0.125,0.5917,0.6833,0.0917,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.6543
logs/sim/ml_preoutcome_candidate_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.6083,0.725,0.1167,0.6167,0.7083,0.0917,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.6442
logs/sim/prototype_stability_submission_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.45,0.65,0.2,0.6333,0.6583,0.025,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.6234
logs/sim/prototype_stability_v91_s1_easy_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.45,0.65,0.2,0.6333,0.6583,0.025,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.6234
logs/sim/boss_expansion_probe_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_boss_expansion_probe_v1,trace_only,none,none,none,1,1,0.4833,0.6083,0.125,0.625,0.6917,0.0667,0.5173,0.6375,0.1202,0.6184,0.708,0.0897,3.5989
logs/sim/confirm_color_position_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_confirm_limit_position_probe_v1_s4,trace_only,none,none,none,1,1,0.475,0.5625,0.0875,0.65,0.7875,0.1375,0.5429,0.6394,0.0965,0.6371,0.7118,0.0747,3.5861
logs/sim/ml_sweep_face_boss_v89_smoke_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.525,0.6167,0.0917,0.5833,0.6667,0.0833,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.5501
logs/sim/rank_runtime_position_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_rank_runtime_position_probe_v1_repeat_s4,trace_only,none,none,none,1,1,0.4875,0.675,0.1875,0.6375,0.6375,0.0,0.5429,0.6394,0.0965,0.6365,0.7117,0.0752,3.5497
logs/sim/run_modifier_candidate_fair_t104_r112_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4417,0.6,0.1583,0.5083,0.575,0.0667,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.5109
logs/sim/economy_probe_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.65,0.65,0.0,0.55,0.7,0.15,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.5001
logs/sim/prototype_stability_v91_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.425,0.6167,0.1917,0.625,0.6333,0.0083,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.4734
logs/sim/economy_choice_reward040_price240_v1_r800_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.575,0.6575,0.0825,0.6225,0.6813,0.0587,0.4912,0.6285,0.1372,0.604,0.6753,0.0713,3.4683
logs/sim/run_modifier_candidate_fair_t108_r112_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.35,0.55,0.2,0.4583,0.5,0.0417,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.465
logs/sim/run_modifier_candidate_fair_t102_r112_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4917,0.6333,0.1417,0.55,0.6083,0.0583,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.4609
logs/sim/ml_sweep_shape_floor_v87_runtime_parity_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5667,0.6583,0.0917,0.6083,0.65,0.0417,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.4335
logs/sim/ml_sweep_market_v9_v11_v90_explore_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5333,0.6,0.0667,0.6417,0.7167,0.075,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.3918
logs/sim/run_modifier_candidate_fair_t106_r116_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.3833,0.575,0.1917,0.4917,0.5167,0.025,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.39
logs/sim/economy_combo045_220_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.525,0.6417,0.1167,0.625,0.6417,0.0167,0.5227,0.6325,0.1097,0.5848,0.6674,0.0826,3.3804
logs/sim/economy_choice_reward038_price240_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.5417,0.65,0.1083,0.6333,0.675,0.0417,0.5317,0.6489,0.1172,0.6455,0.671,0.0255,3.3604
logs/sim/ml_sweep_shape_floor_v87_smoke_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5667,0.6417,0.075,0.6083,0.65,0.0417,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.3543
logs/sim/run_modifier_pressure_market_probe_t104_r112_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4833,0.625,0.1417,0.5917,0.6083,0.0167,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.2942
logs/sim/run_modifier_candidate_fair_t108_r120_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.35,0.525,0.175,0.4583,0.4833,0.025,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,3.2734
logs/sim/economy_spend_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.65,0.65,0.0,0.6,0.7,0.1,0.5227,0.6325,0.1097,0.5848,0.6674,0.0826,3.2596
logs/sim/ml_actual_target_grid_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.65,0.7125,0.0625,0.6125,0.675,0.0625,0.5101,0.5884,0.0784,0.5825,0.618,0.0356,3.2403
logs/sim/runtime_station_pool_leveling_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,trace_only,none,none,none,1,0,0.48,0.6725,0.1925,0.54,0.66,0.12,0.603,0.5539,-0.0491,0.5936,0.63,0.0365,3.2147
logs/sim/ml_sweep_v72_exposure_smoke_v84_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5583,0.575,0.0167,0.65,0.7333,0.0833,0.524,0.6451,0.1212,0.6136,0.705,0.0914,3.1876
logs/sim/economy_spend_combo045_220_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.5,0.6,0.1,0.625,0.625,0.0,0.5227,0.6325,0.1097,0.5848,0.6674,0.0826,3.1846
logs/sim/hand_discard_position_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_boss_expansion_stage_a_hand_discard_probe_v1_s2,trace_only,none,none,none,1,1,0.5375,0.625,0.0875,0.6875,0.7,0.0125,0.5429,0.6394,0.0965,0.6369,0.7116,0.0747,3.1799
logs/sim/economy_catalog_normalized_reward040_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,0,0.5083,0.675,0.1667,0.6083,0.7083,0.1,0.5938,0.636,0.0423,0.6695,0.6064,-0.0631,3.0375
logs/sim/prototype_s1_easy_entry_v91_r240_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.9417,0.9458,0.0042,0.9417,0.95,0.0083,0.9333,0.9377,0.0044,0.9346,0.9358,0.0013,2.98
logs/sim/prototype_s1_softened_v91_r240_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.9417,0.9458,0.0042,0.9375,0.9458,0.0083,0.9333,0.9377,0.0044,0.9346,0.9358,0.0013,2.98
logs/sim/economy_choice_reward039_price240_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.5583,0.6083,0.05,0.6417,0.6667,0.025,0.5338,0.63,0.0963,0.6419,0.6709,0.029,2.9631
logs/sim/prototype_s1_red035_v91_r240_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.9292,0.9292,0.0,0.9333,0.9333,0.0,0.9333,0.9377,0.0044,0.9346,0.9358,0.0013,2.905
logs/sim/economy_reward034_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,0,0.525,0.6333,0.1083,0.6833,0.7333,0.05,0.4618,0.6434,0.1816,0.6605,0.6289,-0.0315,2.8835
logs/sim/runtime_s4_rank_weight_v1_growth_access_confirm_r240_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.5375,0.5875,0.05,0.5583,0.5875,0.0292,0.5018,0.5397,0.0379,0.5422,0.585,0.0428,2.8593
logs/sim/single_s4_growth_access_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_rank_runtime_position_probe_v1_single_s4,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.5175,0.58,0.0625,0.5775,0.625,0.0475,0.5344,0.5502,0.0158,0.5939,0.6005,0.0066,2.8547
logs/sim/station_curve_growth_gate_probe_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5417,0.55,0.0083,0.5917,0.6417,0.05,0.4925,0.5757,0.0832,0.5756,0.6166,0.041,2.8067
logs/sim/run_modifier_candidate_t104_r112_probe_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,1,0.4917,0.5417,0.05,0.6167,0.675,0.0583,0.5256,0.5309,0.0052,0.6108,0.6184,0.0076,2.7715
logs/sim/runtime_s4_rank_weight_v1_growth_access_seed91628_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.47,0.52,0.05,0.5375,0.5675,0.03,0.5018,0.5397,0.0379,0.5422,0.585,0.0428,2.7614
logs/sim/runtime_s4_rank_weight_v1_growth_access_final_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.475,0.52,0.045,0.5375,0.57,0.0325,0.5018,0.5397,0.0379,0.5422,0.585,0.0428,2.7514
