feature,importance
station_pressure_interaction,0.10018834363484586
station_tier_index,0.0848818324206331
boss_pressure_index,0.07773517543349218
station_boss_interaction,0.06723970563398206
boss_family_index,0.06469454481206842
station,0.05174588525495215
boss_level_index,0.04840421002760717
station_band_index,0.03622278072169195
sim_boss_constraint_id_blue_dampener_v1,0.03615785178335456
tier_index,0.034176894652477814
is_runtime_boss_modifier,0.031523715146822597
sim_boss_constraint_id_,0.027815560655579195
has_boss_constraint,0.027395153694131084
loadout_id_s4_resource_build__shop_slot_market_v9,0.026312016140049455
market_station_interaction,0.02352082203982834
is_boss_tier,0.020180480257514007
loadout_id_s4_resource_build,0.01934760357711636
blind_tier_boss,0.01904962222589891
sim_boss_constraint_id_yellow_dampener_v1,0.01756468530500501
blind_tier_small,0.015450502951387118
resolved_market_profile_s1_candidate_uncommon_build_jester,0.013314446746071554
loadout_id_s3_hand_growth_build__shop_slot_market_v9,0.01173833257406695
sim_boss_constraint_id_row_line_dampener_v1,0.011019864809167272
loadout_id_s3_hand_growth_build,0.010064771206585357
blind_tier_big,0.009270292160798914
loadout_id_s2_foundation_build,0.009061962741328535
loadout_id_s5_power_build__shop_slot_market_v9,0.008590155967856209
resolved_market_profile_s1_candidate_tarot_build_pack,0.008510163827153572
resolved_market_profile_s1_candidate_planet_rank_level,0.007111587575652781
sim_boss_constraint_id_black_dampener_v1,0.006556049035437765
sim_boss_constraint_id_face_tile_dampener_v1,0.005591515628180746
resolved_market_profile_s1_candidate_common_rank_jester,0.005552202890626277
market_profile_shop_slot_market_v9,0.00520631877674052
has_market_profile,0.00508993606953687
loadout_id_s2_foundation_build__shop_slot_market_v9,0.004998729449154739
loadout_id_s1_entry_bridge_build,0.004802181368883441
economy_market_interaction,0.00408203430844822
resolved_market_profile_none,0.003490824531634372
loadout_id_s5_power_build,0.003189234317850731
market_availability_index,0.0031120147904073686
market_profile_version,0.00293623377651085
market_profile_none,0.002639249445928654
sim_boss_constraint_id_column_line_dampener_v1,0.002539433747244788
is_shop_slot_market,0.0024055267287825437
sim_boss_constraint_id_red_dampener_v1,0.0023729578858442566
resolved_market_profile_s1_candidate_common_color_jester,0.002289027311430348
loadout_id_s5_boss_bridge_build__shop_slot_market_v9,0.0022518780142459
loadout_id_s5_boss_bridge_build,0.002205332883365442
resolved_market_profile_shop_slot_market_v9,0.002100806826413365
sim_boss_constraint_id_single_rank_pressure,0.0018896741805618344
is_late_station,0.0018651575901073695
loadout_id_s6_boss_breaker_build__shop_slot_market_v9,0.0013729182887857177
sim_boss_constraint_id_repeat_rank_pressure_v4,0.001310195898247956
resolved_market_profile_s1_build_aware_pack_plus5,0.0007338420124744508
sim_boss_constraint_id_diagonal_line_dampener_v1,0.0005517544777745617
sim_boss_constraint_id_all_score_dampener_v1,0.0003433981210653578
resolved_market_profile_s1_candidate_voucher_resource,0.0002207093174526215
resolved_market_profile_s1_buy_discard_glove,1.1898349744401567e-05
is_final_station,0.0
expected_target_score,0.0
expected_reward_gold,0.0
board_discard_pressure,0.0
hand_discard_pressure,0.0
max_hand_size_pressure,0.0
difficulty_multiplier,0.0
target_multiplier,0.0
small_target_multiplier,0.0
big_target_multiplier,0.0
boss_target_multiplier,0.0
s1_boss_target_multiplier,0.0
s2_boss_target_multiplier,0.0
s3_boss_target_multiplier,0.0
reward_multiplier,0.0
sweep_reward_scale,0.0
sweep_price_scale,0.0
is_sim_policy_market,0.0
economy_pressure_index,0.0
price_band_growth_access,0.0
price_band_catalog_normalized,0.0
spend_mode_slot_sell,0.0
spend_mode_first_reroll_free,0.0
spend_mode_reroll_slot_sell_soft,0.0
spend_mode_reroll_slot_sell,0.0
choice_mode_affordable_alternative,0.0
base_experiment_id_base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,0.0
difficulty_standard,0.0
run_modifier_basic,0.0
sim_economy_mode_gated_known_cost,0.0
sim_market_budget_mode_none,0.0
sim_market_spend_mode_reroll_slot_sell_v1,0.0
sim_price_band_mode_catalog_normalized_v1,0.0
sim_market_choice_mode_affordable_alternative_v1,0.0
