candidate_id,category,predicted_v9_clear_avg,predicted_none_clear_avg,predicted_market_delta,predicted_s1_boss_v9,predicted_s8_boss_v9,market_gate_pass,reward_scale,price_scale,boss_target_multiplier,s1_boss_target_multiplier,sim_market_spend_mode,sim_market_choice_mode,recommendation_score,description
economy_r040_p220_spend_choice,economy,0.5743,0.6,-0.0257,0.6409,0.5146,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-1.5361,현재 출품 baseline에 가까운 reward 0.40 / price 2.2 + reroll/slot/sell + affordable choice
economy_r040_p220_growth_access_spend_choice,economy,0.5743,0.6,-0.0257,0.6409,0.5146,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-1.5361,성장 후보 구매 접근성을 열어 둔 reward 0.40 / price 2.2 + growth access price band
economy_r040_p240_spend_choice,economy,0.5743,0.6,-0.0257,0.6409,0.5146,0,0.4,2.4,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-1.5361,경제 압박 강화 후보 reward 0.40 / price 2.4
economy_r038_p240_spend_choice,economy,0.5743,0.6,-0.0257,0.6409,0.5146,0,0.38,2.4,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-1.5361,보상 소폭 축소 + price 2.4 후보
target_boss_098,target,0.5782,0.6,-0.0218,0.6494,0.5185,0,1.0,1.0,0.98,1.0,none,none,-1.6495,전체 boss target 0.98 후보
target_big100_boss102,target,0.5782,0.6,-0.0218,0.6494,0.5185,0,1.0,1.0,1.02,1.0,none,none,-1.6495,후반 압박 보존용 boss target 1.02 후보
early_boss_soft_s1_098_s2_100_s3_100,target,0.5782,0.6,-0.0218,0.6494,0.5185,0,1.0,1.0,1.0,0.98,none,none,-1.6495,S1 boss만 0.98로 낮추는 초반 완화 후보
market_v9_current_no_economy_change,market,0.5782,0.6,-0.0218,0.6494,0.5185,0,1.0,1.0,1.0,1.0,none,none,-1.6495,"마켓 v9 유지, economy sim 변경 없음"
runtime_s4_rank_growth_access_current,runtime_handoff,0.5602,0.575,-0.0148,0.5669,0.4752,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-1.7304,현재 handoff 후보: S4 rank pressure 가중 + growth access price band
runtime_s4_rank_growth_access_slot_sell,runtime_handoff_probe,0.5602,0.575,-0.0148,0.5669,0.4752,0,0.4,2.2,1.0,1.0,slot_sell_v1,affordable_alternative_v1,-1.7304,"v9 상승 후보: S4 rank pressure + growth access + slot sell 유지, reroll spend 제거"
runtime_s4_rank_growth_access_first_reroll_free,runtime_handoff_probe,0.5602,0.575,-0.0148,0.5669,0.4752,0,0.4,2.2,1.0,1.0,first_reroll_free_v1,affordable_alternative_v1,-1.7304,"정책 안전 후보: 첫 리롤만 무료, 슬롯 교체/판매 유지"
economy_r040_p260_spend_choice,economy,0.5743,0.6,-0.0257,0.6409,0.5146,0,0.4,2.6,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-1.7861,가격 압박 강한 price 2.6 후보
current_runtime_trace,baseline,0.5627,0.575,-0.0124,0.5723,0.4739,0,1.0,1.0,1.0,1.0,none,none,-1.8647,현재 런타임 후보를 trace-only 기준으로 읽는 baseline
