feature,importance
boss_pressure_index,0.10658150119160748
station_pressure_interaction,0.1021884359940264
station_boss_interaction,0.09250197203516322
boss_family_index,0.07037731783090606
boss_level_index,0.06283203229422968
station_tier_index,0.05924605173038881
sim_boss_constraint_id_,0.047981038538439866
blind_tier_boss,0.046121528144045264
is_boss_tier,0.0454527139464818
tier_index,0.04080257591075074
is_runtime_boss_modifier,0.035771955439762505
station_band_index,0.03522770047687147
has_boss_constraint,0.03519115867092911
station,0.034106415387227765
sim_boss_constraint_id_blue_dampener_v1,0.03313655115812108
resolved_market_profile_s1_candidate_uncommon_build_jester,0.027033963481365407
market_station_interaction,0.015801362248200355
blind_tier_small,0.015223147617186223
sim_boss_constraint_id_yellow_dampener_v1,0.014713608983514702
sim_boss_constraint_id_row_line_dampener_v1,0.011852815288998118
resolved_market_profile_s1_candidate_tarot_build_pack,0.007213291705298774
market_profile_version,0.006765695778226538
market_availability_index,0.0054310821672311485
blind_tier_big,0.005298684678701184
loadout_id_s1_entry_bridge_build,0.00440120000735429
sim_boss_constraint_id_face_tile_dampener_v1,0.004267386918869432
resolved_market_profile_s1_candidate_common_color_jester,0.0028882589631519687
is_sim_policy_market,0.002589675628149771
resolved_market_profile_s1_candidate_planet_rank_level,0.0024467290047556884
market_profile_shop_slot_market_v12,0.0023629006322082686
sim_boss_constraint_id_column_line_dampener_v1,0.0022551083327919342
loadout_id_s4_resource_build__shop_slot_market_v12,0.0021487410773757356
market_profile_shop_slot_market_v9,0.0020763735800050117
sim_boss_constraint_id_black_dampener_v1,0.0019151286572998533
loadout_id_s2_foundation_build__shop_slot_market_v9,0.0018744508370355311
market_profile_shop_slot_market_v13,0.0015147537820361509
market_profile_shop_slot_market_v16,0.0014872539040539099
is_shop_slot_market,0.00128081784226108
resolved_market_profile_s1_candidate_common_rank_jester,0.001196022370816354
is_late_station,0.0011238322760396947
economy_market_interaction,0.0010762376077446641
loadout_id_s2_foundation_build__shop_slot_market_v13,0.0008481138401675566
loadout_id_s4_resource_build__shop_slot_market_v16,0.0008037387399561451
resolved_market_profile_none,0.0007177551417139502
has_market_profile,0.0006974665755027056
loadout_id_s2_foundation_build__shop_slot_market_v16,0.0005655326056086858
loadout_id_s3_hand_growth_build__shop_slot_market_v12,0.0005033280804215617
loadout_id_s3_hand_growth_build__shop_slot_market_v16,0.0004961357787209652
market_profile_none,0.0004581880762323559
loadout_id_s2_foundation_build__shop_slot_market_v12,0.000277219609244877
loadout_id_s3_hand_growth_build__shop_slot_market_v9,0.00020502629868338195
loadout_id_s3_hand_growth_build,0.00016767914854424332
loadout_id_s5_power_build__shop_slot_market_v9,0.0001224503195822072
resolved_market_profile_shop_slot_market_v12,0.0001042591512443505
loadout_id_s4_resource_build__shop_slot_market_v13,0.00010182021538937632
loadout_id_s5_power_build__shop_slot_market_v16,9.87510404653165e-05
loadout_id_s3_hand_growth_build__shop_slot_market_v13,6.682728962889861e-05
loadout_id_s4_resource_build__shop_slot_market_v9,8.235969270442386e-06
is_final_station,0.0
expected_target_score,0.0
expected_reward_gold,0.0
board_discard_pressure,0.0
hand_discard_pressure,0.0
max_hand_size_pressure,0.0
difficulty_multiplier,0.0
target_multiplier,0.0
small_target_multiplier,0.0
big_target_multiplier,0.0
boss_target_multiplier,0.0
s1_boss_target_multiplier,0.0
s2_boss_target_multiplier,0.0
s3_boss_target_multiplier,0.0
reward_multiplier,0.0
sweep_reward_scale,0.0
sweep_price_scale,0.0
economy_pressure_index,0.0
price_band_growth_access,0.0
price_band_catalog_normalized,0.0
spend_mode_slot_sell,0.0
spend_mode_first_reroll_free,0.0
spend_mode_reroll_slot_sell_soft,0.0
spend_mode_reroll_slot_sell,0.0
choice_mode_affordable_alternative,0.0
base_experiment_id_base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,0.0
loadout_id_s2_foundation_build,0.0
loadout_id_s4_resource_build,0.0
loadout_id_s5_boss_bridge_build__shop_slot_market_v13,0.0
loadout_id_s5_boss_bridge_build__shop_slot_market_v16,0.0
loadout_id_s5_boss_bridge_build__shop_slot_market_v9,0.0
loadout_id_s5_power_build__shop_slot_market_v12,0.0
loadout_id_s5_power_build__shop_slot_market_v13,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v12,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v13,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v16,0.0
loadout_id_s6_boss_breaker_build__shop_slot_market_v9,0.0
difficulty_standard,0.0
resolved_market_profile_s1_candidate_rare_xmult_jester,0.0
resolved_market_profile_shop_slot_market_v13,0.0
resolved_market_profile_shop_slot_market_v16,0.0
resolved_market_profile_shop_slot_market_v9,0.0
run_modifier_basic,0.0
sim_boss_constraint_id_all_score_dampener_v1,0.0
sim_boss_constraint_id_diagonal_line_dampener_v1,0.0
sim_boss_constraint_id_red_dampener_v1,0.0
sim_economy_mode_gated_known_cost,0.0
sim_market_budget_mode_none,0.0
sim_market_spend_mode_reroll_slot_sell_v1,0.0
sim_price_band_mode_catalog_normalized_v1,0.0
sim_market_choice_mode_affordable_alternative_v1,0.0
