candidate_id,category,predicted_v9_clear_avg,predicted_none_clear_avg,predicted_market_delta,predicted_s1_boss_v9,predicted_s8_boss_v9,market_gate_pass,reward_scale,price_scale,boss_target_multiplier,s1_boss_target_multiplier,sim_market_spend_mode,sim_market_choice_mode,recommendation_score,description
runtime_s4_rank_growth_access_first_reroll_free,runtime_handoff_probe,0.8508,0.8474,0.0035,0.8611,0.7163,1,0.4,2.2,1.0,1.0,first_reroll_free_v1,affordable_alternative_v1,3.8499,"정책 안전 후보: 첫 리롤만 무료, 슬롯 교체/판매 유지"
current_runtime_trace,baseline,0.8516,0.8418,0.0098,0.8593,0.73,1,1.0,1.0,1.0,1.0,none,none,2.6881,현재 런타임 후보를 trace-only 기준으로 읽는 baseline
runtime_s4_rank_growth_access_current,runtime_handoff,0.8472,0.8846,-0.0374,0.8696,0.67,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-1.1631,현재 handoff 후보: S4 rank pressure 가중 + growth access price band
economy_r040_p240_spend_choice,economy,0.8514,0.8549,-0.0035,0.8662,0.7839,0,0.4,2.4,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.296,경제 압박 강화 후보 reward 0.40 / price 2.4
economy_r040_p220_spend_choice,economy,0.8504,0.8551,-0.0046,0.8662,0.7839,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.2994,현재 출품 baseline에 가까운 reward 0.40 / price 2.2 + reroll/slot/sell + affordable choice
economy_r038_p240_spend_choice,economy,0.8503,0.8554,-0.0051,0.8661,0.7839,0,0.38,2.4,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.301,보상 소폭 축소 + price 2.4 후보
runtime_s4_rank_growth_access_slot_sell,runtime_handoff_probe,0.8604,0.8799,-0.0195,0.8588,0.7552,0,0.4,2.2,1.0,1.0,slot_sell_v1,affordable_alternative_v1,-2.3012,"v9 상승 후보: S4 rank pressure + growth access + slot sell 유지, reroll spend 제거"
economy_r040_p220_growth_access_spend_choice,economy,0.8492,0.8901,-0.0409,0.8664,0.7844,0,0.4,2.2,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.4087,성장 후보 구매 접근성을 열어 둔 reward 0.40 / price 2.2 + growth access price band
target_big100_boss102,target,0.8577,0.8659,-0.0083,0.8737,0.7892,0,1.0,1.0,1.02,1.0,none,none,-2.4557,후반 압박 보존용 boss target 1.02 후보
target_boss_098,target,0.8577,0.866,-0.0083,0.8737,0.7892,0,1.0,1.0,0.98,1.0,none,none,-2.4558,전체 boss target 0.98 후보
early_boss_soft_s1_098_s2_100_s3_100,target,0.8577,0.866,-0.0083,0.8737,0.7892,0,1.0,1.0,1.0,0.98,none,none,-2.4558,S1 boss만 0.98로 낮추는 초반 완화 후보
market_v9_current_no_economy_change,market,0.8577,0.866,-0.0083,0.8737,0.7892,0,1.0,1.0,1.0,1.0,none,none,-2.4558,"마켓 v9 유지, economy sim 변경 없음"
economy_r040_p260_spend_choice,economy,0.8508,0.855,-0.0041,0.8663,0.7839,0,0.4,2.6,1.0,1.0,reroll_slot_sell_v1,affordable_alternative_v1,-2.5476,가격 압박 강한 price 2.6 후보
